German,Turkish
Ich,BEN
ist,dır-dir
ich,BEN
nicht,Olumsuz
Sie,O
du,Sen
das,.
die,.
es,BT
und,Ve
der,.
zu,ile
sie,o
Das,.
ein,A
in,içinde
wir,Biz
Du,Sen
mir,Ben
mit,ile
Was,Ne
den,.
mich,Ben
was,Ne
auf,Açık
dass,O
er,O
eine,bir
Es,BT
hat,sahip olmak
Wir,Biz
Und,Ve
so,Bu yüzden
sind,var olan
von,itibaren
dich,Sen
war,olmuş
haben,sahip olmak
für,için
Ja,Evet
hier,Burada
an,-den
habe,sahip olmak
Er,O
bin,Ben
wie,Nasıl
noch,Hala
dir,Sen
uns,biz
sich,kendisi
Die,.
nur,sadece
einen,A
Nein,HAYIR
dem,Dem
ihn,o
auch,Ayrıca
hast,sahip olmak
sein,olmak
ihr,o
da,Orası
aus,dışında
kann,olabilmek
aber,Ancak
Aber,Ancak
schon,çoktan
wenn,eğer
wird,hale gelmek
um,etrafında
Wie,Nasıl
als,gibi
bist,var olan
im,içinde
mal,Sadece
doch,Ancak
gut,iyi
meine,bana ait
jetzt,Şimdi
weiß,beyaz
Wenn,Eğer
werden,haline gelmek
Der,.
nach,sonrasında
ja,Evet
Oh,Ah
oder,veya
dann,Daha sonra
will,istek
mein,Benim
mehr,Daha
keine,HAYIR
etwas,bir şey
alles,her şey
muss,mutlak
immer,Her zaman
nichts,Hiçbir şey
man,Adam
wieder,Tekrar
bei,-den
hab,sahip olmak
machen,yapmak
vor,önce
Mann,Adam
ihm,o
einem,A
tun,Yapmak
zum,için
können,olabilmek
sagen,söylemek
werde,haline gelmek
denn,Çünkü
Ist,Dır-dir
Ein,A
Warum,Neden
einer,bir
gehen,Gitmek
sehen,Görmek
sehr,çok
geht,gitmek
alle,Tümü
über,üstünde
müssen,mutlak
diese,Bu
einfach,basitçe
euch,Sen
des,ile ilgili
nie,Asla
Also,Bu yüzden
Wo,Nerede
los,Hadi
Zeit,Zaman
Ihnen,Onlara
gibt,vermek
wirklich,Gerçekten
Hey,Hey
Danke,Teşekkürler
deine,senin
würde,istemek
soll,meli
Da,Orada
hatte,vardı
Hier,Burada
wissen,bilgi
bitte,Lütfen
viel,fazla
Dann,Daha sonra
So,Bu yüzden
gesagt,söz konusu
Ihr,O
am,-den
kein,HAYIR
Komm,Gelmek
Wer,DSÖ
zurück,geri
wurde,olmuş
In,İçinde
wollte,aranan
Frau,Kadın
Leben,Hayat
wäre,olmuş
wo,Neresi
damit,Bununla
Nicht,Olumsuz
Gott,Tanrı
Leute,İnsanlar
kannst,olabilmek
heute,Bugün
meinen,Anlam
dieser,Bu
dein,senin
kommt,gelir
kommen,Gelmek
willst,istek
Na,N/A
wollen,istek
sicher,güvenli
ganz,epeyce
Jetzt,Şimdi
Mein,Benim
Mr,Bay
also,Bu yüzden
zur,ile
Hast,Sahip olmak
Gut,İyi
hätte,olurdu
weil,Çünkü
tut,yapmak
Hallo,Merhaba
Okay,TAMAM
macht,belki
waren,olmuş
bis,değin
Vielleicht,Belki
könnte,abilir
Eine,Bir
Bitte,Lütfen
weg,uzak
seine,onun
lassen,izin vermek
Vater,Baba
gesehen,görülen
Nun,Kuyu
gerade,dümdüz
Alles,Her şey
glaube,inanmak
Tag,Gün
ab,uzak
Geld,Para
gemacht,yapılmış
nein,HAYIR
Sir,Sayın
sollte,meli
sagte,söz konusu
keinen,HAYIR
durch,başından sonuna kadar
zwei,iki
diesen,Bu
passiert,olmuş
wohl,muhtemelen
vielleicht,belki
ihre,o
Mutter,Anne
reden,konuşmak
anderen,diğerleri
dachte,düşünce
daß,O
möchte,istek
wirst,haline gelmek
gehört,duyulmuş
